event_id,date,eruption_time_utc,actual_arrival_utc,actual_arrival_hours,initial_speed_kms,actual_speed_kms,class,has_cme,source_region,notes
bastille_day,2000-07-14,2000-07-14 10:24,2000-07-15 14:54,28.5,1674,600,extreme,true,AR9077,X5.7 flare - Bastille Day event - one of the largest CMEs of Solar Cycle 23
halloween_2003,2003-10-28,2003-10-28 11:10,2003-10-29 06:00,18.8,2459,1000,extreme,true,AR10486,X17.2 flare - Halloween Storm - fastest CME of cycle
easter_2001,2001-04-15,2001-04-15 13:50,2001-04-17 00:20,34.5,1199,450,fast,true,AR9415,X14.4 flare - Easter event
carrington_proxy,2003-11-04,2003-11-04 19:50,2003-11-06 09:00,37.2,2657,800,extreme,true,AR10486,X28+ flare - Carrington-class proxy (saturated detectors)
july_2012,2012-07-23,2012-07-23 02:00,2012-07-24 20:00,42.0,3050,1200,extreme,true,AR11520,Far-side extreme CME - Carrington-class (missed Earth)
sept_2017,2017-09-06,2017-09-06 12:02,2017-09-07 23:00,35.0,1571,500,fast,true,AR12673,X9.3 flare - Largest flare of Solar Cycle 24
march_1989,1989-03-10,1989-03-10 18:00,1989-03-13 01:00,55.0,1200,400,fast,true,AR5395,Quebec blackout event - historic geomagnetic storm
july_2000,2000-07-11,2000-07-11 13:08,2000-07-13 09:00,44.0,1078,380,medium,true,AR9070,Pre-Bastille Day CME
nov_2001,2001-11-04,2001-11-04 16:20,2001-11-06 01:30,33.2,1810,650,fast,true,AR9684,X1.0 flare with fast CME
dec_2006,2006-12-13,2006-12-13 02:40,2006-12-14 14:00,35.3,1774,550,fast,true,AR10930,X3.4 flare - first major CME observed by STEREO
quiet_window_1,2000-07-20,2000-07-20 00:00,,,,slow,false,,No significant CME activity - quiet period
quiet_window_2,2003-11-15,2003-11-15 00:00,,,,slow,false,,Post-Halloween quiet period - no significant CMEs
