target_distance_au,angular_precision_deg,resolution_km,resolution_million_km,resolution_solar_radii,percentile_16_km,percentile_84_km,n_samples,configuration
0.3,0.25,485931.9862974867,0.4859319862974867,0.6981781412320212,299077.91024918825,1170888.8911895463,500,"L4+L5 (dynamic, Bastille Day)"
0.3,0.5,972807.6035834211,0.9728076035834211,1.3977120741141107,596762.6105073419,2351055.449567333,500,"L4+L5 (dynamic, Bastille Day)"
0.3,1.0,1949834.2173111697,1.9498342173111698,2.8014859444126,1187980.3151332983,4704408.589746034,500,"L4+L5 (dynamic, Bastille Day)"
0.5,0.25,551180.6938546048,0.5511806938546049,0.7919262842738576,289324.3047317188,1272532.0999158302,500,"L4+L5 (dynamic, Bastille Day)"
0.5,0.5,1103679.1499458917,1.1036791499458918,1.585745905094672,578156.5269490692,2550250.3595596547,500,"L4+L5 (dynamic, Bastille Day)"
0.5,1.0,2213204.1878208187,2.2132041878208186,3.1798910744551994,1158891.6415015943,5131794.678655106,500,"L4+L5 (dynamic, Bastille Day)"
0.7,0.25,587006.2014455469,0.5870062014455469,0.8433997147206134,235062.50267886053,1328700.8001900294,500,"L4+L5 (dynamic, Bastille Day)"
0.7,0.5,1175244.4954441541,1.175244495444154,1.6885696773622905,470205.7812971565,2648715.367974528,500,"L4+L5 (dynamic, Bastille Day)"
0.7,1.0,2355877.108504777,2.3558771085047767,3.3848809030241047,942109.6475727446,5270934.931007991,500,"L4+L5 (dynamic, Bastille Day)"
1.0,0.25,666167.6682999956,0.6661676682999956,0.9571374544540167,195514.88439890175,1440733.2550684195,500,"L4+L5 (dynamic, Bastille Day)"
1.0,0.5,1331747.998539799,1.3317479985397989,1.9134310323847685,391815.9671410698,2883374.68932545,500,"L4+L5 (dynamic, Bastille Day)"
1.0,1.0,2661615.7223742283,2.6616157223742283,3.824160520652627,784962.8658189906,5767068.504759345,500,"L4+L5 (dynamic, Bastille Day)"
